family,N_theta,kappa_target,seed,alpha_target,beta_target,rho,L_A,L_A_is_empirical,norm_mean_grad,norm_mean_hess_minus_I,empirical_min_hess_eig,empirical_max_hess_eig,M_mc,gamma_loc,Lambda_hat,log_kappa_factor,Gamma_current,current_bound_rate,D_kappa,conjecture_bound_rate,lambda_over_logkappa,inverse_gamma_loc,inverse_gamma_over_logkappa
separable,4,2.0,0,0.6666666666666666,1.3333333333333335,0.5498432100592349,0.606233426611603,False,3.547362978182437e-17,0.0,0.6674631852803873,1.2556607535550355,32768,0.8806986598047584,0.0028740887018288913,1.6931471805599454,0.3333333333333335,0.23076923076923073,10.593612732980475,0.06852312846017043,0.0016974830864251232,1.1354621570807084,0.6706222413016667
separable,4,2.0,1,0.6666666666666667,1.3333333333333333,0.5252552650165188,0.6346120744222341,False,2.5471734471239255e-17,0.0,0.6914425520592056,1.333333325949611,32768,0.8813865543658088,0.01135772129409747,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.006708053159525875,1.1345759644808038,0.6700988416763539
separable,4,2.0,2,0.6666666666666667,1.3333333333333333,0.3742198507137795,0.890741986822826,False,3.678335512300571e-17,0.0,0.7754100990574477,1.333333317350557,32768,0.9210405146652961,0.055448911906640794,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.0327490206068814,1.0857285690232612,0.6412487830291262
separable,4,2.0,3,0.6666666666666667,1.3333333333333333,0.3676149241168297,0.9067459220654449,False,2.5443692645209162e-17,0.0,0.7894107974272243,1.3333332825556783,32768,0.918669996594647,0.060168043554248325,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.0355362157791563,1.0885301617630154,0.6429034488325017
separable,4,2.0,4,0.6666666666666667,1.3333333333333333,0.45529455814725883,0.7321267679758237,False,1.8376143372897414e-17,0.0,0.7274424945688065,1.3333333072580857,32768,0.8861159253774615,0.04173422999171186,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.024648908536061123,1.1285205144846335,0.6665223953604655
separable,4,2.0,5,0.6666666666666667,1.3333333333333333,0.520342149048282,0.6406041369952593,False,6.764575031564221e-18,0.0,0.6884980582865585,1.3333333329078134,32768,0.8819608897692628,0.02904552477903425,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.017154754833202703,1.1338371254326463,0.6696624714324433
separable,4,2.0,6,0.6666666666666667,1.3333333333333333,0.3683901768513295,0.9048377353119705,False,4.639056994180629e-17,0.0,0.7791039630949963,1.3333329516818015,32768,0.923192036468566,0.09470381361694788,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.05593359792007457,1.0831982518233618,0.6397543369296073
separable,4,2.0,7,0.6666666666666667,1.3333333333333333,0.5506007593196427,0.605399334619918,False,2.2463238340203897e-17,0.0,0.6672360973921565,1.2872194389691392,32768,0.8780734698418796,0.0032970539054132226,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.0019472931492717867,1.138856866020649,0.67262721108747
separable,4,2.0,8,0.6666666666666667,1.3333333333333333,0.4447484732482819,0.7494873021121069,False,1.4964048893935954e-17,0.0,0.74220707638743,1.3333332807902463,32768,0.911410527958857,0.08339500439190313,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.04925443301646307,1.0972004045636194,0.6480242339007771
separable,4,2.0,9,0.6666666666666667,1.3333333333333333,0.4561154101815781,0.7308091897194054,False,3.879089289300577e-17,0.0,0.7283941682599324,1.3333333177218545,32768,0.8902430167149652,0.03674786907980216,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.021703883455453158,1.1232887888186338,0.6634324539034745
additive_index,4,2.0,0,0.6666666666666667,1.3333333333333333,0.3041256636304225,1.0960381618382735,True,2.639755648850878e-17,0.0,0.8333333333333334,1.143793606490952,32768,0.9624507571090999,0.0316953417389192,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.01871977941600868,1.0390141964287984,0.613658522046018
additive_index,4,2.0,1,0.6666666666666667,1.3333333333333333,0.31367140234137975,1.0626832119383163,True,1.6671924298256157e-17,0.0,0.8591047886640043,1.1666666666666667,32768,0.9700658822596112,0.045126911571376,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.026652680930226016,1.0308578193376539,0.6088412343436889
additive_index,4,2.0,2,0.6666666666666667,1.3333333333333333,0.2908671543314959,1.145998537027799,True,4.483864501144792e-17,0.0,0.8333333333333334,1.1150078792768499,32768,0.9548173795967225,0.016755429533817208,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.009896026598394106,1.0473206933270955,0.6185644729247538
additive_index,4,2.0,3,0.6666666666666667,1.3333333333333333,0.299099344465124,1.1144569170802752,True,2.0672357310005128e-17,0.0,0.8333333333333334,1.1621129540978448,32768,0.9562879616412286,0.018334492112272345,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.010828646394585079,1.0457101209177104,0.617613242914819
additive_index,4,2.0,4,0.6666666666666667,1.3333333333333333,0.2206202915162212,1.5108915460245633,True,5.088484543095854e-17,0.0,0.8946091261173009,1.1666666666666667,32768,0.97345390050615,0.0337821747994508,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.019952296638664695,1.027270011944117,0.6067222175005398
additive_index,4,2.0,5,0.6666666666666667,1.3333333333333333,0.31894256802593846,1.0451202402879771,True,3.332947815518717e-17,0.0,0.8498746220365831,1.1666666666666665,32768,0.9690618367836229,0.04652725121616172,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.027479744082717347,1.0319258916634906,0.609472055065065
additive_index,4,2.0,6,0.6666666666666667,1.3333333333333333,0.29657405073717524,1.1239463887848173,True,2.5985761313413977e-17,0.0,0.8558734711639232,1.1666666666666667,32768,0.9651247083487364,0.037367061996007464,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.022069588766435354,1.0361355287555873,0.6119583345453312
additive_index,4,2.0,7,0.6666666666666667,1.3333333333333333,0.2502717491870957,1.3318855780407848,True,7.217405530858862e-17,0.0,0.886623920606376,1.1666666666666665,32768,0.9754958472876839,0.08414594313764057,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.049697949536680226,1.0251196894178982,0.6054522023766877
additive_index,4,2.0,8,0.6666666666666667,1.3333333333333333,0.311183645037767,1.0711788316923856,True,4.873326404096417e-17,0.0,0.8333333333333334,1.1542812487782805,32768,0.9668542608746663,0.04226102894873322,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.024960044486361167,1.034282042771729,0.6108636358651813
additive_index,4,2.0,9,0.6666666666666667,1.3333333333333333,0.2329780493707544,1.4307499536270754,True,2.3998850590575425e-17,0.0,0.8809725507874203,1.1666666666666667,32768,0.9823205225665492,0.028472875214261527,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.0168165387753504,1.0179976667770911,0.6012458210752986
